country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,rank,region,sub_region,iso_alpha
Jordan,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,123,Asia,Western Asia,JOR
Ethiopia,4.091,7.739,0.782,60.698,0.72,0.273,0.789,124,Africa,Sub-Saharan Africa,ETH
Liberia,4.042,7.277,0.596,56.7,0.735,0.154,0.83,125,Africa,Sub-Saharan Africa,LBR
India,4.036,8.759,0.608,60.777,0.897,0.072,0.774,126,Asia,Southern Asia,IND
Madagascar,4.019,7.29,0.65,58.05,0.522,0.075,0.742,127,Africa,Sub-Saharan Africa,MDG
Zambia,3.982,8.074,0.694,55.032,0.791,0.098,0.818,128,Africa,Sub-Saharan Africa,ZMB
Tanzania,3.694,7.857,0.653,59.401,0.838,0.182,0.554,129,Africa,Sub-Saharan Africa,TZA
Comoros,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,130,Africa,Sub-Saharan Africa,COM
Malawi,3.495,7.302,0.531,58.475,0.75,0.005,0.749,131,Africa,Sub-Saharan Africa,MWI
Botswana,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,132,Africa,Sub-Saharan Africa,BWA
Congo (Kinshasa),3.207,7.007,0.652,55.375,0.664,0.086,0.834,133,Africa,Sub-Saharan Africa,COD
Zimbabwe,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,134,Africa,Sub-Saharan Africa,ZWE
Sierra Leone,3.138,7.394,0.555,54.9,0.66,0.105,0.858,135,Africa,Sub-Saharan Africa,SLE
Lebanon,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,136,Asia,Western Asia,LBN
Afghanistan,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,137,Asia,Southern Asia,AFG
